provinsi,jenis,daerah,tahun,periode,gk,jenis_encoded,daerah_encoded,gk_scaled,cluster,PC1,PC2,gk_original
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,263932.0,0,1,-0.2596541456998797,7,-0.7305083419119742,0.24428164392321106,263932.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,279015.0,0,1,-0.16250865871186157,7,-0.6450560561331742,0.24607674490405962,279015.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,296832.0,0,1,-0.04775422380729883,7,-0.5441143750537548,0.24819723248449976,296832.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,308037.0,0,1,0.024414123451253423,7,-0.4806327823897321,0.24953079387748567,308037.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,MARET,311996.0,0,2,0.049912962076564295,8,-0.3640514149314621,1.2227117399393177,311996.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,SEPTEMBER,321688.0,0,2,0.1123364892189015,8,-0.3091416785548705,1.223865231864424,321688.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,MARET,328225.0,0,2,0.1544395223317222,8,-0.27210650039826934,1.2246432319381366,328225.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,SEPTEMBER,345167.0,0,2,0.26355832101573756,8,-0.17612210567146225,1.2266595815249257,345167.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,MARET,316190.0,0,0,0.07692537157253647,0,-0.5285939757876146,-0.7222086443225124,316190.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,SEPTEMBER,322222.0,0,0,0.1157758374952127,0,-0.49441986004023525,-0.7214907467479929,322222.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,MARET,333843.0,0,0,0.1906235272311909,0,-0.4285814318074277,-0.7201076751774538,333843.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,SEPTEMBER,342317.0,0,0,0.24520224875452618,0,-0.38057223803367235,-0.7190991433395096,342317.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2017,MARET,314243.0,0,1,0.06438527589092993,7,-0.44547287484194764,0.2502694000358856,314243.0
